timestamp,event,event type,data,event group,front gear num,front gear,rear gear num,rear gear
2025-02-26T11:53:36.000Z,timer,start,manual,0,,,,
2025-02-26T11:53:36.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T11:53:36.000Z,rearGearChange,marker,536939786,,1,32,10,13
2025-02-26T11:53:37.000Z,rearGearChange,marker,536940041,,1,32,9,14
2025-02-26T11:53:56.000Z,rearGearChange,marker,536940296,,1,32,8,15
2025-02-26T11:54:03.000Z,rearGearChange,marker,536940041,,1,32,9,14
2025-02-26T11:54:05.000Z,rearGearChange,marker,536939786,,1,32,10,13
2025-02-26T11:54:20.000Z,rearGearChange,marker,536940041,,1,32,9,14
2025-02-26T11:54:24.000Z,rearGearChange,marker,536940296,,1,32,8,15
2025-02-26T11:54:28.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T11:54:31.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T11:54:38.000Z,rearGearChange,marker,536941318,,1,32,6,19
2025-02-26T11:54:47.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T11:54:50.000Z,rearGearChange,marker,536940807,,1,32,7,17
2025-02-26T11:54:50.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T11:54:55.000Z,rearGearChange,marker,536940296,,1,32,8,15
2025-02-26T11:55:02.000Z,rearGearChange,marker,536940041,,1,32,9,14
2025-02-26T11:55:04.000Z,rearGearChange,marker,536939786,,1,32,10,13
2025-02-26T11:55:10.000Z,rearGearChange,marker,536939786,,1,32,10,13
2025-02-26T11:55:15.000Z,rearGearChange,marker,536940041,,1,32,9,14
2025-02-26T11:55:17.000Z,rearGearChange,marker,536940296,,1,32,8,15
2025-02-26T11:55:28.000Z,frontGearChange,marker,805441288,,2,48,8,15
2025-02-26T11:55:30.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T11:55:31.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T11:55:42.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T11:55:42.000Z,rearGearChange,marker,805441288,,2,48,8,15
2025-02-26T11:55:45.000Z,rearGearChange,marker,805441033,,2,48,9,14
2025-02-26T11:55:55.000Z,rearGearChange,marker,805440523,,2,48,11,12
2025-02-26T11:55:56.000Z,rearGearChange,marker,805440778,,2,48,10,13
2025-02-26T11:55:57.000Z,rearGearChange,marker,805441033,,2,48,9,14
2025-02-26T11:56:01.000Z,rearGearChange,marker,805441288,,2,48,8,15
2025-02-26T11:56:02.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T11:56:11.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T11:56:12.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T11:56:12.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T11:56:12.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T11:56:17.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T11:56:17.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T11:56:29.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T11:56:39.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T11:56:40.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T11:56:52.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T11:56:58.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T11:57:02.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T11:57:17.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T11:57:47.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T11:57:52.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T11:57:58.000Z,rearGearChange,marker,805445122,,2,48,2,30
2025-02-26T11:58:02.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T11:58:33.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T11:58:34.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T11:59:36.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T11:59:39.000Z,riderPositionChange,marker,transitionToSeated,,,,,
2025-02-26T11:59:41.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T11:59:42.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T11:59:45.000Z,rearGearChange,marker,805441288,,2,48,8,15
2025-02-26T12:00:02.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:00:43.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T12:00:44.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:00:47.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:00:57.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:01:01.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:01:11.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:01:20.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:01:23.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:01:31.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:01:54.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:01:59.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:02:07.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:02:11.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:02:22.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:02:29.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:02:35.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:02:40.000Z,rearGearChange,marker,805441799,,2,48,7,17
2025-02-26T12:03:00.000Z,rearGearChange,marker,805442310,,2,48,6,19
2025-02-26T12:03:27.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:03:37.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:03:55.000Z,distanceDurationAlert,marker,1000.00,1,,,,
2025-02-26T12:05:34.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:05:40.000Z,rearGearChange,marker,805444355,,2,48,3,27
2025-02-26T12:06:40.000Z,rearGearChange,marker,805443588,,2,48,4,24
2025-02-26T12:06:53.000Z,rearGearChange,marker,805442821,,2,48,5,21
2025-02-26T12:06:55.000Z,riderPositionChange,marker,seated,,,,,
2025-02-26T12:07:00.000Z,rearGearChange,marker,805442310,,2,48,6,19
