timestamp,event,event type,data,event group,front gear num,front gear,rear gear num,rear gear
2025-02-22T23:35:34.000Z,timer,start,manual,0,,,,
2025-02-22T23:35:34.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:35:54.000Z,offCourse,start,0,0,,,,
2025-02-22T23:35:54.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:35:55.000Z,offCourse,start,0,0,,,,
2025-02-22T23:36:13.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:36:30.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:36:46.000Z,rearGearChange,marker,637605893,,1,38,5,24
2025-02-22T23:37:08.000Z,rearGearChange,marker,637606916,,1,38,4,28
2025-02-22T23:37:54.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:39:57.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:39:59.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:40:04.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:40:09.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:40:22.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:40:26.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:40:41.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:41:08.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:41:31.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:41:32.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:41:33.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:41:35.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:41:40.000Z,rearGearChange,marker,637605893,,1,38,5,24
2025-02-22T23:41:43.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:41:48.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:42:32.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:42:40.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:42:54.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:43:11.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:43:17.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:43:57.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:44:03.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:44:10.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:44:28.000Z,rearGearChange,marker,637603082,,1,38,10,13
2025-02-22T23:44:42.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:44:50.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:45:26.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:46:45.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:47:46.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:48:09.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:48:13.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:48:26.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:48:39.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:48:44.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:48:48.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:49:35.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:50:11.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:50:12.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:50:15.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:50:17.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:50:21.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:50:52.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:51:25.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:51:29.000Z,rearGearChange,marker,637603082,,1,38,10,13
2025-02-22T23:53:30.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:53:31.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:53:46.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-22T23:54:42.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-22T23:55:03.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:55:08.000Z,rearGearChange,marker,637605126,,1,38,6,21
2025-02-22T23:55:25.000Z,39,marker,102,,,,,
2025-02-22T23:55:29.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-22T23:55:40.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-23T00:12:50.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-23T00:13:28.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-23T00:13:32.000Z,rearGearChange,marker,637603593,,1,38,9,15
2025-02-23T00:14:00.000Z,offCourse,stop,0,0,,,,
2025-02-23T00:14:02.000Z,rearGearChange,marker,637604104,,1,38,8,17
2025-02-23T00:14:03.000Z,rearGearChange,marker,637604615,,1,38,7,19
2025-02-23T00:14:11.000Z,rearGearChange,marker,637605893,,1,38,5,24
